id,permalink,userUrl,author_name,fullname,avatar,verified,text,html,isRetweet,retweetedBy,replyingTo,relativeTime,displayTime,createdAt,images,links,comments,retweets,likes,Views,bank_ext,text_1,postUrl,replyText,text_v1,post,posttype,Sentiment
2043855961165623417,https://x.com/FirasAlin3va/status/2043855961165623417,https://x.com/FirasAlin3va,FirasAlin3va,فراس علي,https://pbs.twimg.com/profile_images/2036473244753207299/AACRtj0p_bigger.jpg,,"ليلة استثنائية حلق فيها صقر الغناء في #موسم_جدة 🦅
والجمهور ولعها حماس من أول لحظة لآخرها 🔥

#رابح_صقر
#روتانا_لايف

@RabehSaqer 
@JEDCalendar 
@EmiratesNBD_KSA https://t.co/2PHoXVNSf7",أداء ساحر لطيور الغناء في موسم جدة!,False,,"['RotanaLive', 'RabehSaqer', 'JEDCalendar', 'EmiratesNBD_KSA']",3h,"Apr 14, 2026 · 12:56 AM UTC",2026-04-14T00:56:00Z,,,0,0,0,8,ENBD,أداء ساحر لطيور الغناء في موسم جدة!,https://x.com/FirasAlin3va/status/2043855961165623417,"ليلة استثنائية حلق فيها صقر الغناء في #موسم_جدة 🦅
والجمهور ولعها حماس من أول لحظة لآخرها 🔥

#رابح_صقر
#روتانا_لايف

@RabehSaqer 
@JEDCalendar 
@EmiratesNBD_KSA https://t.co/2PHoXVNSf7","ليلة استثنائية حلق فيها صقر الغناء في #موسم_جدة 🦅
والجمهور ولعها حماس من أول لحظة لآخرها 🔥

#رابح_صقر
#روتانا_لايف

@RabehSaqer 
@JEDCalendar 
@EmiratesNBD_KSA https://t.co/2PHoXVNSf7",An exceptional night where the singing falcon soared in #Jeddah_Season 🦅 and the audience was excited from the very first moment to the last 🔥,Cust,Neutral
2043690673077895303,https://x.com/EmiratesNBD_AE/status/2043690673077895303,https://x.com/EmiratesNBD_AE,EmiratesNBD_AE,Emirates NBD,https://pbs.twimg.com/profile_images/2042294543308242946/ScvMjarh_bigger.jpg,,"الحد من حالة عدم اليقين.
 
دع مستشارينا الخبراء في الخدمات المصرفية الخاصة لدى بنك الإمارات دبي الوطني يقدّمون استراتيجيات استثمارية مصمّمة خصيصًا لك، لتتماشى مع أهدافك وملف المخاطر المقبول لديك، ورؤيتك طويلة الأجل؛ لمساعدتك على تحديد الفرص الواعدة. استثمر بثقة.
 
#الإمارات_دبي_الوطني #الخدمات_المصرفية_الخاصة #الاستشارات_الاستثمارية #استثمر_بثقة","Access equities, sukuk, bonds and precious metals (gold and silver), all on ENBD X. One platform. Endless opportunities. Start investing today on ENBD X <a href=""https://www.emiratesnbd.com/en/ways-of-banking/mobile-banking/start-investing-on-enbdx"">emiratesnbd.com/en/ways-of-b…</a>.",False,,,14h,"Apr 13, 2026 · 2:00 PM UTC",2026-04-13T14:00:00Z,,['https://www.emiratesnbd.com/en/ways-of-banking/mobile-banking/start-investing-on-enbdx'],0,3,5,432,ENBD,"Access equities, sukuk, bonds and precious metals (gold and silver), all on ENBD X. One platform. Endless opportunities. Start investing today on ENBD X emiratesnbd.com/en/ways-of-b….",https://x.com/EmiratesNBD_AE/status/2043690673077895303,"الحد من حالة عدم اليقين.
 
دع مستشارينا الخبراء في الخدمات المصرفية الخاصة لدى بنك الإمارات دبي الوطني يقدّمون استراتيجيات استثمارية مصمّمة خصيصًا لك، لتتماشى مع أهدافك وملف المخاطر المقبول لديك، ورؤيتك طويلة الأجل؛ لمساعدتك على تحديد الفرص الواعدة. استثمر بثقة.
 
#الإمارات_دبي_الوطني #الخدمات_المصرفية_الخاصة #الاستشارات_الاستثمارية #استثمر_بثقة","الحد من حالة عدم اليقين.
 
دع مستشارينا الخبراء في الخدمات المصرفية الخاصة لدى بنك الإمارات دبي الوطني يقدّمون استراتيجيات استثمارية مصمّمة خصيصًا لك، لتتماشى مع أهدافك وملف المخاطر المقبول لديك، ورؤيتك طويلة الأجل؛ لمساعدتك على تحديد الفرص الواعدة. استثمر بثقة.
 
#الإمارات_دبي_الوطني #الخدمات_المصرفية_الخاصة #الاستشارات_الاستثمارية #استثمر_بثقة","Reducing uncertainty.

Let our expert advisors in private banking at Emirates NBD provide you with investment strategies tailored specifically for you, aligning with your goals, acceptable risk profile, and long-term vision; to help you identify promising opportunities. Invest with confidence.",Bank,Positive
2043682357216149641,https://x.com/chin2to/status/2043682357216149641,https://x.com/chin2to,chin2to,Chintn S. Padhya,https://pbs.twimg.com/profile_images/2006918638885060609/VLnYZV2k_bigger.jpg,,"Finally thought I'll get an @EmiratesNBD_AE Skywards Credit Card, but applying for one is such a hassle. Changed my mind immediately after speaking to them for 2 months.","Finally thought I&#39;ll get an <a href=""/EmiratesNBD_AE"" title=""Emirates NBD"">@EmiratesNBD_AE</a> Skywards Credit Card, but applying for one is such a hassle. Changed my mind immediately after speaking to them for 2 months.",False,,,14h,"Apr 13, 2026 · 1:26 PM UTC",2026-04-13T13:26:00Z,,['https://x.com/EmiratesNBD_AE'],1,0,0,326,ENBD,"Finally thought I'll get an @EmiratesNBD_AE Skywards Credit Card, but applying for one is such a hassle. Changed my mind immediately after speaking to them for 2 months.",https://x.com/chin2to/status/2043682357216149641,"Finally thought I'll get an @EmiratesNBD_AE Skywards Credit Card, but applying for one is such a hassle. Changed my mind immediately after speaking to them for 2 months.","Finally thought I'll get an @EmiratesNBD_AE Skywards Credit Card, but applying for one is such a hassle. Changed my mind immediately after speaking to them for 2 months.","Finally thought I'd get an Emirates NBD Skywards Credit Card, but applying for one is such a hassle. I changed my mind immediately after speaking to them for 2 months.",Cust,Negative
2043679372956303521,https://x.com/DubaiCares/status/2043679372956303521,https://x.com/DubaiCares,DubaiCares,Dubai Cares,https://pbs.twimg.com/profile_images/1741507994112634880/khFZcD-e_bigger.jpg,,"A few clicks. A child’s future changed. Emirates NBD @EmiratesNBD_AE has made it so easy for its customers to donate to Dubai Cares through its app, helping support children’s education globally.  #DubaiCares #ENBD #EducationForAll
ببضع نقرات، تستطيع تغيير مستقبل طفل. قام بنك الإمارات دبي الوطني (ENBD) بتسهيل عملية التبرع لدبي العطاء من خلال تطبيقه، مما يساهم في دعم تعليم الأطفال حول العالم.
#دبي_العطاء #ENBD #التعليم_للجميع","A few clicks. A child’s future changed. Emirates NBD <a href=""/EmiratesNBD_AE"" title=""Emirates NBD"">@EmiratesNBD_AE</a> has made it so easy for its customers to donate to Dubai Cares through its app, helping support children’s education globally.  <a href=""/search?f=tweets&amp;q=%23DubaiCares"">#DubaiCares</a> <a href=""/search?f=tweets&amp;q=%23ENBD"">#ENBD</a> <a href=""/search?f=tweets&amp;q=%23EducationForAll"">#EducationForAll</a>
ببضع نقرات، تستطيع تغيير مستقبل طفل. قام بنك الإمارات دبي الوطني (ENBD) بتسهيل عملية التبرع لدبي العطاء من خلال تطبيقه، مما يساهم في دعم تعليم الأطفال حول العالم.
<a href=""/search?f=tweets&amp;q=%23دبي_العطاء"">#دبي_العطاء</a> <a href=""/search?f=tweets&amp;q=%23ENBD"">#ENBD</a> <a href=""/search?f=tweets&amp;q=%23التعليم_للجميع"">#التعليم_للجميع</a>",False,,,14h,"Apr 13, 2026 · 1:15 PM UTC",2026-04-13T13:15:00Z,,"['https://x.com/EmiratesNBD_AE', 'https://x.com/search?f=tweets&q=%23DubaiCares', 'https://x.com/search?f=tweets&q=%23ENBD', 'https://x.com/search?f=tweets&q=%23EducationForAll', 'https://x.com/search?f=tweets&q=%23دبي_العطاء', 'https://x.com/search?f=tweets&q=%23ENBD', 'https://x.com/search?f=tweets&q=%23التعليم_للجميع']",0,0,2,235,ENBD,"A few clicks. A child’s future changed. Emirates NBD @EmiratesNBD_AE has made it so easy for its customers to donate to Dubai Cares through its app, helping support children’s education globally.  #DubaiCares #ENBD #EducationForAll
ببضع نقرات، تستطيع تغيير مستقبل طفل. قام بنك الإمارات دبي الوطني (ENBD) بتسهيل عملية التبرع لدبي العطاء من خلال تطبيقه، مما يساهم في دعم تعليم الأطفال حول العالم.
#دبي_العطاء #ENBD #التعليم_للجميع",https://x.com/DubaiCares/status/2043679372956303521,"A few clicks. A child’s future changed. Emirates NBD @EmiratesNBD_AE has made it so easy for its customers to donate to Dubai Cares through its app, helping support children’s education globally.  #DubaiCares #ENBD #EducationForAll
ببضع نقرات، تستطيع تغيير مستقبل طفل. قام بنك الإمارات دبي الوطني (ENBD) بتسهيل عملية التبرع لدبي العطاء من خلال تطبيقه، مما يساهم في دعم تعليم الأطفال حول العالم.
#دبي_العطاء #ENBD #التعليم_للجميع","A few clicks. A child’s future changed. Emirates NBD @EmiratesNBD_AE has made it so easy for its customers to donate to Dubai Cares through its app, helping support children’s education globally.  #DubaiCares #ENBD #EducationForAll
ببضع نقرات، تستطيع تغيير مستقبل طفل. قام بنك الإمارات دبي الوطني (ENBD) بتسهيل عملية التبرع لدبي العطاء من خلال تطبيقه، مما يساهم في دعم تعليم الأطفال حول العالم.
#دبي_العطاء #ENBD #التعليم_للجميع","A few clicks. A child’s future changed. Emirates NBD has made it so easy for its customers to donate to Dubai Cares through its app, helping support children’s education globally. #DubaiCares #ENBD #EducationForAll",Cust,Positive
2043678218696139262,https://x.com/Azez089/status/2043678218696139262,https://x.com/Azez089,Azez089,Eng:Abdulaziz,https://pbs.twimg.com/profile_images/2007153285107449856/q06yNtIg_bigger.jpg,,"يا دار لاهنتِ ولا هان راعيك 😍🇸🇦
عينكم على تفاعل الجمهور من عالم ثاني💚

#رابح_صقر_في_جدة 
#موسم_جدة 
#روتانا_لايف

@RabehSaqer 
@JEDCalendar 
@EmiratesNBD_KSA https://t.co/Qgqg3T5ZcY",قبل البريك بعدين رجع الصوت تمام ، وبعدين دايم المسرح اللي بعيد الصوت يكون شوي ظعيف عنده,False,,"['amolaalharbi', 'RotanaLive', 'RabehSaqer', 'JEDCalendar', 'EmiratesNBD_KSA']",14h,"Apr 13, 2026 · 1:10 PM UTC",2026-04-13T13:10:00Z,,,0,0,0,6,ENBD,قبل البريك بعدين رجع الصوت تمام ، وبعدين دايم المسرح اللي بعيد الصوت يكون شوي ظعيف عنده,https://x.com/Azez089/status/2043678218696139262,"يا دار لاهنتِ ولا هان راعيك 😍🇸🇦
عينكم على تفاعل الجمهور من عالم ثاني💚

#رابح_صقر_في_جدة 
#موسم_جدة 
#روتانا_لايف

@RabehSaqer 
@JEDCalendar 
@EmiratesNBD_KSA https://t.co/Qgqg3T5ZcY","يا دار لاهنتِ ولا هان راعيك 😍🇸🇦
عينكم على تفاعل الجمهور من عالم ثاني💚

#رابح_صقر_في_جدة 
#موسم_جدة 
#روتانا_لايف

@RabehSaqer 
@JEDCalendar 
@EmiratesNBD_KSA https://t.co/Qgqg3T5ZcY","Oh home, you are cherished and so is your caretaker 😍🇸🇦 Keep an eye on the audience's interaction from another world 💚",Cust,Neutral
2043677966958313670,https://x.com/Azez089/status/2043677966958313670,https://x.com/Azez089,Azez089,Eng:Abdulaziz,https://pbs.twimg.com/profile_images/2007153285107449856/q06yNtIg_bigger.jpg,,@RotanaLive @RabehSaqer @JEDCalendar @EmiratesNBD_KSA يا أجمل ليله بالعمر ، نحبك ياراااااااااااااابح 🥹🫰🏻🦅🎶,يا أجمل ليله بالعمر ، نحبك ياراااااااااااااابح 🥹🫰🏻🦅🎶,False,,"['RotanaLive', 'RabehSaqer', 'JEDCalendar', 'EmiratesNBD_KSA']",14h,"Apr 13, 2026 · 1:09 PM UTC",2026-04-13T13:09:00Z,,,0,0,0,8,ENBD,يا أجمل ليله بالعمر ، نحبك ياراااااااااااااابح 🥹🫰🏻🦅🎶,https://x.com/Azez089/status/2043677966958313670,@RotanaLive @RabehSaqer @JEDCalendar @EmiratesNBD_KSA يا أجمل ليله بالعمر ، نحبك ياراااااااااااااابح 🥹🫰🏻🦅🎶,@RotanaLive @RabehSaqer @JEDCalendar @EmiratesNBD_KSA يا أجمل ليله بالعمر ، نحبك ياراااااااااااااابح 🥹🫰🏻🦅🎶,"Oh, the most beautiful night of my life, we love you Yara! 🥹🫰🏻🦅🎶",Cust,Neutral
2043668821291233752,https://x.com/ABD_UL_BAIS/status/2043668821291233752,https://x.com/ABD_UL_BAIS,ABD_UL_BAIS,ABD UL BAIS⁶¹,https://pbs.twimg.com/profile_images/1332799210584989699/fxpSx679_bigger.jpg,,Hi @EmiratesNBD_AE - I'd like to raise a complaint. Can you please DM me so I can share details?,Hi the app is not showing the card,False,,"['EmiratesNBD_AE', 'pratpratpratx']",15h,"Apr 13, 2026 · 12:33 PM UTC",2026-04-13T12:33:00Z,,,1,0,0,7,ENBD,Hi the app is not showing the card,https://x.com/ABD_UL_BAIS/status/2043668821291233752,Hi @EmiratesNBD_AE - I'd like to raise a complaint. Can you please DM me so I can share details?,Hi @EmiratesNBD_AE - I'd like to raise a complaint. Can you please DM me so I can share details?,Hi @EmiratesNBD_AE - I'd like to raise a complaint. Can you please DM me so I can share details?,Cust,Negative
2043661037296386324,https://x.com/TDSforAll/status/2043661037296386324,https://x.com/TDSforAll,TDSforAll,The Digital School | المدرسة الرقمية,https://pbs.twimg.com/profile_images/1802620352800944128/L8ytDWl2_bigger.jpg,,نتقدم بخالص الشكر والتقدير إلى أبرز 5 مساهمين في مبادرة «تبرّع بجهازك الخاص 2.0»، تقديراً لدعمهم في توسيع فرص الوصول إلى التعليم الرقمي للمزيد من الطلبة، والإسهام في تعزيز الاستدامة البيئية من خلال إعادة استخدام الأجهزة وإعادة تدويرها بشكل مسؤول. https://t.co/WkO0Lu0yTH,"شكراً لـ دائرة الاقتصاد والسياحة في دبي على التبرع بالأجهزة ومنحها حياةً ثانية لدعم التعليم والمساهمة في حماية كوكبنا. 📚🌎

<a href=""/DubaiDET"" title=""Dubai Department of Economy and Tourism"">@DubaiDET</a> 

<a href=""http://donateyourowndevice.org"">donateyourowndevice.org</a>",False,,"['TDSforAll', 'EmiratesNBD_AE', 'DIBtoday', 'aldar']",15h,"Apr 13, 2026 · 12:02 PM UTC",2026-04-13T12:02:00Z,,"['https://x.com/DubaiDET', 'http://donateyourowndevice.org']",0,0,0,24,ENBD,"شكراً لـ دائرة الاقتصاد والسياحة في دبي على التبرع بالأجهزة ومنحها حياةً ثانية لدعم التعليم والمساهمة في حماية كوكبنا. 📚🌎

@DubaiDET 

donateyourowndevice.org",https://x.com/TDSforAll/status/2043661037296386324,نتقدم بخالص الشكر والتقدير إلى أبرز 5 مساهمين في مبادرة «تبرّع بجهازك الخاص 2.0»، تقديراً لدعمهم في توسيع فرص الوصول إلى التعليم الرقمي للمزيد من الطلبة، والإسهام في تعزيز الاستدامة البيئية من خلال إعادة استخدام الأجهزة وإعادة تدويرها بشكل مسؤول. https://t.co/WkO0Lu0yTH,نتقدم بخالص الشكر والتقدير إلى أبرز 5 مساهمين في مبادرة «تبرّع بجهازك الخاص 2.0»، تقديراً لدعمهم في توسيع فرص الوصول إلى التعليم الرقمي للمزيد من الطلبة، والإسهام في تعزيز الاستدامة البيئية من خلال إعادة استخدام الأجهزة وإعادة تدويرها بشكل مسؤول. https://t.co/WkO0Lu0yTH,"We extend our sincere thanks and appreciation to the top 5 contributors to the ""Donate Your Device 2.0"" initiative, in recognition of their support in expanding access to digital education for more students and contributing to enhancing environmental sustainability through the responsible reuse and recycling of devices.",Cust,Neutral
2043660471580942471,https://x.com/EmiratesNBD_AE/status/2043660471580942471,https://x.com/EmiratesNBD_AE,EmiratesNBD_AE,Emirates NBD,https://pbs.twimg.com/profile_images/2042294543308242946/ScvMjarh_bigger.jpg,,"Minimise uncertainty.
Let our expert advisors at Emirates NBD Private Banking craft bespoke investment strategies designed to align with your goals, risk profile and long-term vision — helping you identify promising trends. Invest with confidence.
 
#EmiratesNBD #PrivateBanking #InvestmentAdvisory #InvestWithConfidence","Minimise uncertainty.
Let our expert advisors at Emirates NBD Private Banking craft bespoke investment strategies designed to align with your goals, risk profile and long-term vision — helping you identify promising trends. Invest with confidence.
 
<a href=""/search?f=tweets&amp;q=%23EmiratesNBD"">#EmiratesNBD</a> <a href=""/search?f=tweets&amp;q=%23PrivateBanking"">#PrivateBanking</a> <a href=""/search?f=tweets&amp;q=%23InvestmentAdvisory"">#InvestmentAdvisory</a> <a href=""/search?f=tweets&amp;q=%23InvestWithConfidence"">#InvestWithConfidence</a>",False,,,16h,"Apr 13, 2026 · 12:00 PM UTC",2026-04-13T12:00:00Z,,"['https://x.com/search?f=tweets&q=%23EmiratesNBD', 'https://x.com/search?f=tweets&q=%23PrivateBanking', 'https://x.com/search?f=tweets&q=%23InvestmentAdvisory', 'https://x.com/search?f=tweets&q=%23InvestWithConfidence']",1,2,2,340,ENBD,"Minimise uncertainty.
Let our expert advisors at Emirates NBD Private Banking craft bespoke investment strategies designed to align with your goals, risk profile and long-term vision — helping you identify promising trends. Invest with confidence.
 
#EmiratesNBD #PrivateBanking #InvestmentAdvisory #InvestWithConfidence",,,"Minimise uncertainty.
Let our expert advisors at Emirates NBD Private Banking craft bespoke investment strategies designed to align with your goals, risk profile and long-term vision — helping you identify promising trends. Invest with confidence.
 
#EmiratesNBD #PrivateBanking #InvestmentAdvisory #InvestWithConfidence","Minimize uncertainty. Let our expert advisors at Emirates NBD Private Banking create customized investment strategies tailored to your goals, risk profile, and long-term vision — helping you identify promising trends. Invest with confidence.",Bank,Positive
2043660309358141602,https://x.com/TDSforAll/status/2043660309358141602,https://x.com/TDSforAll,TDSforAll,The Digital School | المدرسة الرقمية,https://pbs.twimg.com/profile_images/1802620352800944128/L8ytDWl2_bigger.jpg,,"شكراً لـ الدار على التبرع بالأجهزة ومنحها حياةً ثانية لدعم التعليم والمساهمة في حماية كوكبنا. 📚🌎

@aldar 

donateyourowndevice.org","شكراً لـ الدار على التبرع بالأجهزة ومنحها حياةً ثانية لدعم التعليم والمساهمة في حماية كوكبنا. 📚🌎

<a href=""/aldar"" title=""Aldar"">@aldar</a> 

<a href=""http://donateyourowndevice.org"">donateyourowndevice.org</a>",False,,"['TDSforAll', 'EmiratesNBD_AE', 'DIBtoday']",16h,"Apr 13, 2026 · 11:59 AM UTC",2026-04-13T11:59:00Z,,"['https://x.com/aldar', 'http://donateyourowndevice.org']",1,0,1,23,ENBD,"شكراً لـ الدار على التبرع بالأجهزة ومنحها حياةً ثانية لدعم التعليم والمساهمة في حماية كوكبنا. 📚🌎

@aldar 

donateyourowndevice.org",,,"شكراً لـ الدار على التبرع بالأجهزة ومنحها حياةً ثانية لدعم التعليم والمساهمة في حماية كوكبنا. 📚🌎

@aldar 

donateyourowndevice.org",Thank you to Aldar for donating the devices and giving them a second life to support education and contribute to protecting our planet. 📚🌎,Cust,Neutral
