id,permalink,userUrl,username,fullname,avatar,verified,text,html,isRetweet,retweetedBy,replyingTo,relativeTime,displayTime,createdAt,images,links,comments,retweets,likes,Views,bank_ext,text_1,postUrl,replyText,text_v1
2054692779813670953,https://x.com/MrFcb5/status/2054692779813670953,https://x.com/MrFcb5,MrFcb5,Jaz,https://pbs.twimg.com/profile_images/2051426361575960576/20KWRh2d_bigger.jpg,,"@EmiratesNBD_AE السادة / بنك الإمارات دبي الوطني المحترمين،

أود إفادتكم بأنني قمت بإغلاق بطاقة الفيزا الخاصة بي بشكل كامل، ولدي براءة ذمة تثبت عدم وجود أي التزامات قائمة علي تجاه البنك.

ولكن للأسف، ما زالت حالة “Write Off” ظاهرة في تقريري الائتماني لدى الاتحاد للمعلومات الائتمانية، ولم يتم تحديث البيانات حتى الآن، الأمر الذي تسبب لي بضرر كبير وأثر بشكل مباشر على وضعي الائتماني وتعاملاتي المالية.

لذا أرجو منكم التكرم بمراجعة الموضوع بشكل عاجل، وتحديث بياناتي الائتمانية لدى الاتحاد للمعلومات الائتمانية بما يتوافق مع وضع الحساب الحالي وإغلاق الالتزام بالكامل.

شاكر لكم تعاونكم واهتمامكم، وأتطلع لحل الموضوع في أقرب وقت ممكن.

وتفضلوا بقبول فائق الاحترام والتقدير،","<a href=""/EmiratesNBD_AE"" title=""Emirates NBD"">@EmiratesNBD_AE</a> السادة / بنك الإمارات دبي الوطني المحترمين،

أود إفادتكم بأنني قمت بإغلاق بطاقة الفيزا الخاصة بي بشكل كامل، ولدي براءة ذمة تثبت عدم وجود أي التزامات قائمة علي تجاه البنك.

ولكن للأسف، ما زالت حالة “Write Off” ظاهرة في تقريري الائتماني لدى الاتحاد للمعلومات الائتمانية، ولم يتم تحديث البيانات حتى الآن، الأمر الذي تسبب لي بضرر كبير وأثر بشكل مباشر على وضعي الائتماني وتعاملاتي المالية.

لذا أرجو منكم التكرم بمراجعة الموضوع بشكل عاجل، وتحديث بياناتي الائتمانية لدى الاتحاد للمعلومات الائتمانية بما يتوافق مع وضع الحساب الحالي وإغلاق الالتزام بالكامل.

شاكر لكم تعاونكم واهتمامكم، وأتطلع لحل الموضوع في أقرب وقت ممكن.

وتفضلوا بقبول فائق الاحترام والتقدير،",False,,,5h,"May 13, 2026 · 10:38 PM UTC",2026-05-13T22:38:00Z,,['https://x.com/EmiratesNBD_AE'],0,0,0,26,ENBD,"@EmiratesNBD_AE السادة / بنك الإمارات دبي الوطني المحترمين،

أود إفادتكم بأنني قمت بإغلاق بطاقة الفيزا الخاصة بي بشكل كامل، ولدي براءة ذمة تثبت عدم وجود أي التزامات قائمة علي تجاه البنك.

ولكن للأسف، ما زالت حالة “Write Off” ظاهرة في تقريري الائتماني لدى الاتحاد للمعلومات الائتمانية، ولم يتم تحديث البيانات حتى الآن، الأمر الذي تسبب لي بضرر كبير وأثر بشكل مباشر على وضعي الائتماني وتعاملاتي المالية.

لذا أرجو منكم التكرم بمراجعة الموضوع بشكل عاجل، وتحديث بياناتي الائتمانية لدى الاتحاد للمعلومات الائتمانية بما يتوافق مع وضع الحساب الحالي وإغلاق الالتزام بالكامل.

شاكر لكم تعاونكم واهتمامكم، وأتطلع لحل الموضوع في أقرب وقت ممكن.

وتفضلوا بقبول فائق الاحترام والتقدير،",https://x.com/MrFcb5/status/2054692779813670953,"@EmiratesNBD_AE السادة / بنك الإمارات دبي الوطني المحترمين،

أود إفادتكم بأنني قمت بإغلاق بطاقة الفيزا الخاصة بي بشكل كامل، ولدي براءة ذمة تثبت عدم وجود أي التزامات قائمة علي تجاه البنك.

ولكن للأسف، ما زالت حالة “Write Off” ظاهرة في تقريري الائتماني لدى الاتحاد للمعلومات الائتمانية، ولم يتم تحديث البيانات حتى الآن، الأمر الذي تسبب لي بضرر كبير وأثر بشكل مباشر على وضعي الائتماني وتعاملاتي المالية.

لذا أرجو منكم التكرم بمراجعة الموضوع بشكل عاجل، وتحديث بياناتي الائتمانية لدى الاتحاد للمعلومات الائتمانية بما يتوافق مع وضع الحساب الحالي وإغلاق الالتزام بالكامل.

شاكر لكم تعاونكم واهتمامكم، وأتطلع لحل الموضوع في أقرب وقت ممكن.

وتفضلوا بقبول فائق الاحترام والتقدير،","@EmiratesNBD_AE السادة / بنك الإمارات دبي الوطني المحترمين،

أود إفادتكم بأنني قمت بإغلاق بطاقة الفيزا الخاصة بي بشكل كامل، ولدي براءة ذمة تثبت عدم وجود أي التزامات قائمة علي تجاه البنك.

ولكن للأسف، ما زالت حالة “Write Off” ظاهرة في تقريري الائتماني لدى الاتحاد للمعلومات الائتمانية، ولم يتم تحديث البيانات حتى الآن، الأمر الذي تسبب لي بضرر كبير وأثر بشكل مباشر على وضعي الائتماني وتعاملاتي المالية.

لذا أرجو منكم التكرم بمراجعة الموضوع بشكل عاجل، وتحديث بياناتي الائتمانية لدى الاتحاد للمعلومات الائتمانية بما يتوافق مع وضع الحساب الحالي وإغلاق الالتزام بالكامل.

شاكر لكم تعاونكم واهتمامكم، وأتطلع لحل الموضوع في أقرب وقت ممكن.

وتفضلوا بقبول فائق الاحترام والتقدير،"
2054649234235040225,https://x.com/MotiwalaAkhtar/status/2054649234235040225,https://x.com/MotiwalaAkhtar,MotiwalaAkhtar,Akhtar Motiwala,https://pbs.twimg.com/profile_images/579769261016551424/YlkMvNjO_bigger.jpg,,"@EmiratesNBD_AE I am trying to login my enbd online banking but it's taking me to fingerprint login setup, once its done it goes back to log out, again ask me to do the same, I am currently in india and unable to transact,
AE370260001014895574401","Below m sharing the screenshot where I have shared the complaint by email, but unfortunately there is no response from other side.",False,,['EmiratesNBD_AE'],8h,"May 13, 2026 · 7:45 PM UTC",2026-05-13T19:45:00Z,,,0,0,0,1,ENBD,"Below m sharing the screenshot where I have shared the complaint by email, but unfortunately there is no response from other side.",https://x.com/MotiwalaAkhtar/status/2054649234235040225,"@EmiratesNBD_AE I am trying to login my enbd online banking but it's taking me to fingerprint login setup, once its done it goes back to log out, again ask me to do the same, I am currently in india and unable to transact,
AE370260001014895574401","@EmiratesNBD_AE I am trying to login my enbd online banking but it's taking me to fingerprint login setup, once its done it goes back to log out, again ask me to do the same, I am currently in india and unable to transact,
AE370260001014895574401"
2054648596595663008,https://x.com/AdorableAngham/status/2054648596595663008,https://x.com/AdorableAngham,AdorableAngham,Just Angham 🇸🇦,https://pbs.twimg.com/profile_images/1678666058993999874/EG_2MCI7_bigger.jpg,,"بنعيش هالإحساس من جديد مع صوت مصر #انغام❣️

🗓️ 30مايو
📍 الرياض - مسرح محمد عبده أرينا by ENBD 

تُطرح التذاكر يوم الجمعة 15 مايو الساعة 4 مساءً 👇
🔗 https://t.co/KINO4qvs0V 🔗

@Turki_alalshikh 
@Angham  
@GEA_SA 
@Mabdoarena 
@flowardCo 
@EmiratesNBD_KSA 

#حفلات_عيد_الأضحى 
#روتانا_لايف",ابي راحت لياللليييي,False,,"['RotanaLive', 'Turki_alalshikh', 'Angham', 'GEA_SA', 'Mabdoarena', 'flowardCo', 'EmiratesNBD_KSA']",8h,"May 13, 2026 · 7:42 PM UTC",2026-05-13T19:42:00Z,,,0,0,2,101,ENBD,ابي راحت لياللليييي,https://x.com/AdorableAngham/status/2054648596595663008,"بنعيش هالإحساس من جديد مع صوت مصر #انغام❣️

🗓️ 30مايو
📍 الرياض - مسرح محمد عبده أرينا by ENBD 

تُطرح التذاكر يوم الجمعة 15 مايو الساعة 4 مساءً 👇
🔗 https://t.co/KINO4qvs0V 🔗

@Turki_alalshikh 
@Angham  
@GEA_SA 
@Mabdoarena 
@flowardCo 
@EmiratesNBD_KSA 

#حفلات_عيد_الأضحى 
#روتانا_لايف","بنعيش هالإحساس من جديد مع صوت مصر #انغام❣️

🗓️ 30مايو
📍 الرياض - مسرح محمد عبده أرينا by ENBD 

تُطرح التذاكر يوم الجمعة 15 مايو الساعة 4 مساءً 👇
🔗 https://t.co/KINO4qvs0V 🔗

@Turki_alalshikh 
@Angham  
@GEA_SA 
@Mabdoarena 
@flowardCo 
@EmiratesNBD_KSA 

#حفلات_عيد_الأضحى 
#روتانا_لايف"
2054645340758790538,https://x.com/juustnoee/status/2054645340758790538,https://x.com/juustnoee,juustnoee,hana,https://pbs.twimg.com/profile_images/2043016582385762304/McEsqSCK_bigger.jpg,,@RotanaLive @Turki_alalshikh @Angham @GEA_SA @Mabdoarena @flowardCo @EmiratesNBD_KSA انقلوا الحفله,انقلوا الحفله,False,,"['RotanaLive', 'Turki_alalshikh', 'Angham', 'GEA_SA', 'Mabdoarena', 'flowardCo', 'EmiratesNBD_KSA']",8h,"May 13, 2026 · 7:29 PM UTC",2026-05-13T19:29:00Z,,,0,0,0,102,ENBD,انقلوا الحفله,https://x.com/juustnoee/status/2054645340758790538,@RotanaLive @Turki_alalshikh @Angham @GEA_SA @Mabdoarena @flowardCo @EmiratesNBD_KSA انقلوا الحفله,@RotanaLive @Turki_alalshikh @Angham @GEA_SA @Mabdoarena @flowardCo @EmiratesNBD_KSA انقلوا الحفله
2054644305105408185,https://x.com/sS125r/status/2054644305105408185,https://x.com/sS125r,sS125r,سعود,https://pbs.twimg.com/profile_images/1273381907129122818/MHsVmh08_bigger.jpg,,"بيت العمر بتمويل مايتغير عليك 🏡
✅ تمويل حتى 5 مليون ريال
✅ هامش ربح تنافسي
✅ فترة سداد حتى 30 سنة

قدم عليه من بنك الإمارات دبي الوطني",كم النسبه,False,,['EmiratesNBD_KSA'],8h,"May 13, 2026 · 7:25 PM UTC",2026-05-13T19:25:00Z,,,1,0,0,2,ENBD,كم النسبه,https://x.com/sS125r/status/2054644305105408185,"بيت العمر بتمويل مايتغير عليك 🏡
✅ تمويل حتى 5 مليون ريال
✅ هامش ربح تنافسي
✅ فترة سداد حتى 30 سنة

قدم عليه من بنك الإمارات دبي الوطني","بيت العمر بتمويل مايتغير عليك 🏡
✅ تمويل حتى 5 مليون ريال
✅ هامش ربح تنافسي
✅ فترة سداد حتى 30 سنة

قدم عليه من بنك الإمارات دبي الوطني"
2054634200867697066,https://x.com/Anghamifan/status/2054634200867697066,https://x.com/Anghamifan,Anghamifan,☆AR☆,https://pbs.twimg.com/profile_images/2008420605998120961/a1WaEq9c_bigger.jpg,,@RotanaLive @Turki_alalshikh @Angham @GEA_SA @Mabdoarena @flowardCo @EmiratesNBD_KSA يا احلى احساسسسس❤️❤️❤️❤️❤️,يا احلى احساسسسس❤️❤️❤️❤️❤️,False,,"['RotanaLive', 'Turki_alalshikh', 'Angham', 'GEA_SA', 'Mabdoarena', 'flowardCo', 'EmiratesNBD_KSA']",9h,"May 13, 2026 · 6:45 PM UTC",2026-05-13T18:45:00Z,,,0,0,0,135,ENBD,يا احلى احساسسسس❤️❤️❤️❤️❤️,https://x.com/Anghamifan/status/2054634200867697066,@RotanaLive @Turki_alalshikh @Angham @GEA_SA @Mabdoarena @flowardCo @EmiratesNBD_KSA يا احلى احساسسسس❤️❤️❤️❤️❤️,@RotanaLive @Turki_alalshikh @Angham @GEA_SA @Mabdoarena @flowardCo @EmiratesNBD_KSA يا احلى احساسسسس❤️❤️❤️❤️❤️
2054634145070887182,https://x.com/RotanaLive/status/2054634145070887182,https://x.com/RotanaLive,RotanaLive,Rotana Live,https://pbs.twimg.com/profile_images/1840760580371599361/gqQxhEkP_bigger.jpg,,"صبــاحكم #انغام☀️

مستعدين نغني يوم 30 مايو مع صوت مصر؟🎤
تُطرح تذاكر الحفل يوم الجمعة 15 مايو الساعة 4 مساء عبر منصة https://t.co/FLM90dXW6f 

@Angham 
#روتانا_لايف https://t.co/QFFn2sTiEM","بنعيش هالإحساس من جديد مع صوت مصر <a href=""/search?f=tweets&amp;q=%23انغام"">#انغام</a>❣️

🗓️ 30مايو
📍 الرياض - مسرح محمد عبده أرينا by ENBD 

تُطرح التذاكر يوم الجمعة 15 مايو الساعة 4 مساءً 👇
🔗 <a href=""https://webook.com/ar-SA/events/angham-concert-riyadh-eid26"">webook.com/ar-SA/events/angh…</a> 🔗

<a href=""/Turki_alalshikh"" title=""TURKI ALALSHIKH"">@Turki_alalshikh</a> 
<a href=""/Angham"" title=""Angham"">@Angham</a>  
<a href=""/GEA_SA"" title=""الهيئة العامة للترفيه"">@GEA_SA</a> 
<a href=""/Mabdoarena"" title=""Mohammed Abdo Arena by Emirates NBD"">@Mabdoarena</a> 
<a href=""/flowardCo"" title=""Floward | فلاورد"">@flowardCo</a> 
<a href=""/EmiratesNBD_KSA"" title=""Emirates NBD KSA"">@EmiratesNBD_KSA</a> 

<a href=""/search?f=tweets&amp;q=%23حفلات_عيد_الأضحى"">#حفلات_عيد_الأضحى</a> 
<a href=""/search?f=tweets&amp;q=%23روتانا_لايف"">#روتانا_لايف</a>",False,,,9h,"May 13, 2026 · 6:45 PM UTC",2026-05-13T18:45:00Z,,"['https://x.com/search?f=tweets&q=%23انغام', 'https://webook.com/ar-SA/events/angham-concert-riyadh-eid26', 'https://x.com/Turki_alalshikh', 'https://x.com/Angham', 'https://x.com/GEA_SA', 'https://x.com/Mabdoarena', 'https://x.com/flowardCo', 'https://x.com/EmiratesNBD_KSA', 'https://x.com/search?f=tweets&q=%23حفلات_عيد_الأضحى', 'https://x.com/search?f=tweets&q=%23روتانا_لايف']",4,2,91,6579,ENBD,"بنعيش هالإحساس من جديد مع صوت مصر #انغام❣️

🗓️ 30مايو
📍 الرياض - مسرح محمد عبده أرينا by ENBD 

تُطرح التذاكر يوم الجمعة 15 مايو الساعة 4 مساءً 👇
🔗 webook.com/ar-SA/events/angh… 🔗

@Turki_alalshikh 
@Angham  
@GEA_SA 
@Mabdoarena 
@flowardCo 
@EmiratesNBD_KSA 

#حفلات_عيد_الأضحى 
#روتانا_لايف",https://x.com/RotanaLive/status/2054634145070887182,"صبــاحكم #انغام☀️

مستعدين نغني يوم 30 مايو مع صوت مصر؟🎤
تُطرح تذاكر الحفل يوم الجمعة 15 مايو الساعة 4 مساء عبر منصة https://t.co/FLM90dXW6f 

@Angham 
#روتانا_لايف https://t.co/QFFn2sTiEM","صبــاحكم #انغام☀️

مستعدين نغني يوم 30 مايو مع صوت مصر؟🎤
تُطرح تذاكر الحفل يوم الجمعة 15 مايو الساعة 4 مساء عبر منصة https://t.co/FLM90dXW6f 

@Angham 
#روتانا_لايف https://t.co/QFFn2sTiEM"
2054612102359437436,https://x.com/heba_hashem/status/2054612102359437436,https://x.com/heba_hashem,heba_hashem,Heba Hashem Ⓥ,https://pbs.twimg.com/profile_images/1736630398384238593/Y_oo1i7E_bigger.jpg,,I'm an ENBD customer urgently trying to reach @EmiratesNBD_AE  as I'm unable to activate my smart pass and unable to reach customer service from outside Canada. Please contact me.,"<a href=""/EmiratesNBD_AE"" title=""Emirates NBD"">@EmiratesNBD_AE</a> You closed the ticket when my issue has not been resolved. And you&#39;re asking me to upload my passport info on ICP when I&#39;m not a UAE resident &amp; my account is a non-resident account since 2021! I&#39;m still unable to activate my Smart Pass. Pls HELP URGENTLY.",False,,,10h,"May 13, 2026 · 5:17 PM UTC",2026-05-13T17:17:00Z,,['https://x.com/EmiratesNBD_AE'],1,0,0,6,ENBD,@EmiratesNBD_AE You closed the ticket when my issue has not been resolved. And you're asking me to upload my passport info on ICP when I'm not a UAE resident & my account is a non-resident account since 2021! I'm still unable to activate my Smart Pass. Pls HELP URGENTLY.,https://x.com/heba_hashem/status/2054612102359437436,I'm an ENBD customer urgently trying to reach @EmiratesNBD_AE  as I'm unable to activate my smart pass and unable to reach customer service from outside Canada. Please contact me.,I'm an ENBD customer urgently trying to reach @EmiratesNBD_AE  as I'm unable to activate my smart pass and unable to reach customer service from outside Canada. Please contact me.
2054592499335758247,https://x.com/Wecom_Ticket/status/2054592499335758247,https://x.com/Wecom_Ticket,Wecom_Ticket,تذاكر ويكوم Ticket,https://pbs.twimg.com/profile_images/2016963430436007936/jVE--p_u_bigger.jpg,,"الموعد قرّب ⏳
 باقي يومين على طرح تذاكر 
حفلة العيد لصوت مصر #انغام 🎼😍

تُطرح التذاكر يوم الجمعة 15 مايو 
الساعة 4 مساءً 
عبر منصة https://t.co/FLM90dXW6f 

@Turki_alalshikh 
@Angham 
@GEA_SA 
@Mabdoarena 
@flowardCo 
@EmiratesNBD_KSA 

#حفلات_عيد_الأضحى
#روتانا_لايف https://t.co/0Lromw8Bbf",خلكم قريبين هنوفر لكم التذاكر 😍💙,False,,"['RotanaLive', 'Turki_alalshikh', 'Angham', 'GEA_SA', 'Mabdoarena', 'flowardCo', 'EmiratesNBD_KSA']",12h,"May 13, 2026 · 3:59 PM UTC",2026-05-13T15:59:00Z,,,0,0,0,68,ENBD,خلكم قريبين هنوفر لكم التذاكر 😍💙,https://x.com/Wecom_Ticket/status/2054592499335758247,"الموعد قرّب ⏳
 باقي يومين على طرح تذاكر 
حفلة العيد لصوت مصر #انغام 🎼😍

تُطرح التذاكر يوم الجمعة 15 مايو 
الساعة 4 مساءً 
عبر منصة https://t.co/FLM90dXW6f 

@Turki_alalshikh 
@Angham 
@GEA_SA 
@Mabdoarena 
@flowardCo 
@EmiratesNBD_KSA 

#حفلات_عيد_الأضحى
#روتانا_لايف https://t.co/0Lromw8Bbf","الموعد قرّب ⏳
 باقي يومين على طرح تذاكر 
حفلة العيد لصوت مصر #انغام 🎼😍

تُطرح التذاكر يوم الجمعة 15 مايو 
الساعة 4 مساءً 
عبر منصة https://t.co/FLM90dXW6f 

@Turki_alalshikh 
@Angham 
@GEA_SA 
@Mabdoarena 
@flowardCo 
@EmiratesNBD_KSA 

#حفلات_عيد_الأضحى
#روتانا_لايف https://t.co/0Lromw8Bbf"
2054587273212039246,https://x.com/EmiratesNBD_AE/status/2054587273212039246,https://x.com/EmiratesNBD_AE,EmiratesNBD_AE,Emirates NBD,https://pbs.twimg.com/profile_images/2042294543308242946/ScvMjarh_bigger.jpg,,"Calling all young and ambitious Emirati visionaries 📢

We’re seeking UAE’s best and brightest to join Ruwad, our elite graduate program, for young Emirati leaders at Emirates NBD. This program is designed exclusively for aspiring talents that are committed to shaping the next generation of banking excellence.

Do you have what it takes? Join Ruwad now!

https://t.co/uMt8OTNJaM

#EmiratesNBD #RuwadCohort6 #Emiratisation #UAE #Leadership #Innovation #GlobalLeaders
-
دعوى الى النخبة من الكوادر الإماراتية الشابة 📢

انضم إلى برنامج 'رواد' لإعداد قادة المستقبل في المجال المصرفي. تم تصميم البرنامج لفئة الشباب المتميزين اللذين يطمحون إلى صناعة مستقبل متميز في القطاع المالي.

مستعد لهذا التحدي؟ انضم إلى برنامج 'رواد' الآن: https://t.co/uMt8OTNJaM","Something rewarding is landing soon.

Travel. Shopping. Apple Store. Gift cards. Experiences.

Everything you love, finally in one place. 👀

Stay Tuned!

<a href=""/search?f=tweets&amp;q=%23EmiratesNBD"">#EmiratesNBD</a> <a href=""/search?f=tweets&amp;q=%23RewardsHub"">#RewardsHub</a>",False,,,12h,"May 13, 2026 · 3:39 PM UTC",2026-05-13T15:39:00Z,,"['https://x.com/search?f=tweets&q=%23EmiratesNBD', 'https://x.com/search?f=tweets&q=%23RewardsHub']",0,1,7,751,ENBD,"Something rewarding is landing soon.

Travel. Shopping. Apple Store. Gift cards. Experiences.

Everything you love, finally in one place. 👀

Stay Tuned!

#EmiratesNBD #RewardsHub",https://x.com/EmiratesNBD_AE/status/2054587273212039246,"Calling all young and ambitious Emirati visionaries 📢

We’re seeking UAE’s best and brightest to join Ruwad, our elite graduate program, for young Emirati leaders at Emirates NBD. This program is designed exclusively for aspiring talents that are committed to shaping the next generation of banking excellence.

Do you have what it takes? Join Ruwad now!

https://t.co/uMt8OTNJaM

#EmiratesNBD #RuwadCohort6 #Emiratisation #UAE #Leadership #Innovation #GlobalLeaders
-
دعوى الى النخبة من الكوادر الإماراتية الشابة 📢

انضم إلى برنامج 'رواد' لإعداد قادة المستقبل في المجال المصرفي. تم تصميم البرنامج لفئة الشباب المتميزين اللذين يطمحون إلى صناعة مستقبل متميز في القطاع المالي.

مستعد لهذا التحدي؟ انضم إلى برنامج 'رواد' الآن: https://t.co/uMt8OTNJaM","Calling all young and ambitious Emirati visionaries 📢

We’re seeking UAE’s best and brightest to join Ruwad, our elite graduate program, for young Emirati leaders at Emirates NBD. This program is designed exclusively for aspiring talents that are committed to shaping the next generation of banking excellence.

Do you have what it takes? Join Ruwad now!

https://t.co/uMt8OTNJaM

#EmiratesNBD #RuwadCohort6 #Emiratisation #UAE #Leadership #Innovation #GlobalLeaders
-
دعوى الى النخبة من الكوادر الإماراتية الشابة 📢

انضم إلى برنامج 'رواد' لإعداد قادة المستقبل في المجال المصرفي. تم تصميم البرنامج لفئة الشباب المتميزين اللذين يطمحون إلى صناعة مستقبل متميز في القطاع المالي.

مستعد لهذا التحدي؟ انضم إلى برنامج 'رواد' الآن: https://t.co/uMt8OTNJaM"
